0    Total                    2.65895e+08              
1    Uncategorised            2.42572e+06              
2    ResolvedCut              331107                   
3    IntermediateCut          33618.4                  
4    BoostedCut               3035.95                  
4    (Passed)                 3035.95                    (3035.95)
